Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
2/05/2025,LANDSDALE,WA,6065,3,2,2,185,Townhouse,PRIVATE TREATY,505000,729999,,,
7/08/2025,MAROOCHYDORE,QLD,4558,3,2,1,283,Apartment/Unit/Flat,PRIVATE TREATY,660000,729999,-26.6574023,153.0798816,90.09827655
21/03/2025,BRADDON,ACT,2612,2,2,2,,Apartment/Unit/Flat,PRIVATE TREATY,600000,729000,-35.2773271,149.1363211,3.901568574
9/04/2025,LATROBE,TAS,7307,4,2,2,680,House,PRIVATE TREATY,540000,729000,-41.2460631,146.4162383,196.8105293
23/04/2025,CALWELL,ACT,2905,3,2,2,246,Townhouse,PRIVATE TREATY,980000,729000,-35.4399339,149.1131028,15.8291931
1/05/2025,ROCKINGHAM,WA,6168,4,2,5,765,House,PRIVATE TREATY,505000,729000,-32.2896378,115.7307781,38.9825726
21/07/2025,SORELL,TAS,7172,3,2,4,645,House,PRIVATE TREATY,540000,729000,,,
23/07/2025,BRIDPORT,TAS,7262,3,2,3,625,House,PRIVATE TREATY,540000,729000,-41.0099879,147.3951602,208.0593591
29/07/2025,SURREY DOWNS,SA,5126,3,1,1,590,House,PRIVATE TREATY,495000,729000,-34.803419,138.7061058,16.90616963
22/04/2025,LIGHTSVIEW,SA,5085,3,2,2,132,House,AUCTION,495000,728000,-34.862943,138.6315583,7.793354216
8/05/2025,MITCHAM,VIC,3132,3,1,1,,Townhouse,PRIVATE TREATY,550000,728000,-37.8140024,145.1996158,20.8196553
9/05/2025,COLLINGWOOD,VIC,3066,2,1,1,,Apartment/Unit/Flat,AUCTION,410000,728000,-37.7982096,144.9923272,3.124002426
16/05/2025,KEWDALE,WA,6105,3,2,2,271,House,PRIVATE TREATY,505000,728000,-31.9825104,115.9317238,7.344015001
19/05/2025,TEESDALE,VIC,3328,3,1,7,4298,House,PRIVATE TREATY,550000,728000,-38.0241685,144.0463722,83.91255073
25/06/2025,ST LEONARDS,TAS,7250,4,2,2,899,Newhouseandland,PRIVATE TREATY,540000,728000,,,
30/04/2025,TIN CAN BAY,QLD,4580,3,1,4,695,House,PRIVATE TREATY,670000,727500,,,
6/05/2025,CLYDE NORTH,VIC,3978,4,2,2,,House,PRIVATE TREATY,550000,727500,-38.1054536,145.3918122,49.63572325
19/05/2025,TRUGANINA,VIC,3029,4,2,2,400,House,PRIOR TO AUCTION,550000,727500,-37.7680449,144.6921698,24.41482147
24/05/2025,CAMPSIE,NSW,2194,3,1,1,,Apartment/Unit/Flat,PRIVATE TREATY,645000,727500,-33.9052864,151.1031211,10.49261799
20/06/2025,HOLT,ACT,2615,3,2,2,,Townhouse,PRIVATE TREATY,980000,727500,-35.229354,149.0029101,11.72243631
1/05/2025,PALM BEACH,QLD,4221,2,1,1,2765,Apartment/Unit/Flat,PRIVATE TREATY,660000,727000,-28.1127225,153.4660463,83.6142167
16/05/2025,HUNTINGFIELD,TAS,7055,3,2,2,985,House,PRIVATE TREATY,540000,727000,-42.9904745,147.2876936,12.439783
7/08/2025,MERRIMAC,QLD,4226,3,2,1,,Duplex,PRIVATE TREATY,670000,727000,-28.0531278,153.3595415,72.71797278
24/03/2025,KINGSTON,ACT,2604,2,2,2,,Apartment/Unit/Flat,PRIVATE TREATY,600000,726000,-35.3178519,149.141228,4.273236107
31/03/2025,MUIRHEAD,NT,810,4,2,2,539,House,PRIVATE TREATY,460000,726000,-12.3646414,130.8988917,12.32368988
30/04/2025,MUIRHEAD,NT,810,4,2,2,539,House,PRIVATE TREATY,460000,726000,-12.3646414,130.8988917,12.32368988
12/05/2025,ERSKINE,WA,6210,4,2,3,700,House,PRIVATE TREATY,505000,726000,-32.5571447,115.7011188,68.34530795
5/06/2025,ZUCCOLI,NT,832,4,2,2,600,House,PRIVATE TREATY,460000,726000,-12.5094369,131.0085687,18.99987843
13/06/2025,LAWSON,ACT,2617,3,3,3,,Townhouse,PRIVATE TREATY,980000,726000,-35.2285627,149.0872468,7.763872199
13/08/2025,NARRE WARREN,VIC,3805,3,2,2,,House,PRIVATE TREATY,550000,726000,-38.0340125,145.3172757,39.55154431
16/08/2025,AIRPORT WEST,VIC,3042,2,1,1,,Apartment/Unit/Flat,AUCTION,410000,726000,-37.721439,144.8862768,12.32922491
28/07/2025,BRADDON,ACT,2612,2,2,4,,Apartment/Unit/Flat,PRIVATE TREATY,600000,725750,-35.2773271,149.1363211,3.901568574
10/05/2025,BORONIA,VIC,3155,3,2,2,731,House,AUCTION,550000,725500,-37.8581439,145.297856,29.86145809
4/07/2025,TAYLOR,ACT,2913,3,1,1,250,House,PRIVATE TREATY,980000,725500,-35.1474646,149.1112589,16.68049695
17/01/2025,DARWIN CITY,NT,800,3,2,2,209,Apartment/Unit/Flat,PRIVATE TREATY,254000,725000,-12.4639615,130.8406711,0.391705839
28/01/2025,VIRGINIA,NT,834,4,1,4,,House,PRIVATE TREATY,460000,725000,-12.5548629,131.0397097,23.98737871
21/02/2025,DARWIN RIVER,NT,841,,,,,Rural,PRIVATE TREATY,460000,725000,,,
